Year,Inflation,Real_GDP,GT_Interest_Rate,USA_Interest_Rate,Trade_Balance,Exchange_Rate
1986,36.9,0.1,14.0,8.3,84.3,2.87254
1987,12.3,3.5,14.0,8.2,-469.3,2.71723
1988,10.8,3.9,16.0,9.3,-483.6,2.65392
1989,11.4,3.9,16.0,10.9,-422.3,2.725
1990,41.2,3.1,22.6,10.0,-305.1,4.51714
1991,33.2,3.7,22.1,8.5,-412.7,5.06642
1992,10.0,4.8,21.2,6.3,-830.1,5.20554
1993,11.8,3.9,25.7,6.0,-863.8,5.66591
1994,10.9,4.0,20.2,7.1,-1145.1,5.77405
1995,8.4,4.9,22.2,8.8,-1356.9,5.81998
1996,11.1,3.0,22.4,8.3,-1115.5,6.09841
1997,9.2,4.4,16.4,8.4,-1507.9,6.06872
1998,6.6,5.0,17.9,8.4,-2069.1,6.4012
1999,5.2,3.8,20.6,8.0,-2099.6,7.39338
2000,6.0,3.6,20.1,9.2,-2472.4,7.77079
2001,7.3,2.3,17.9,6.9,-3194.7,7.86773
2002,8.1,3.8,16.2,4.7,-3496.7,7.83243
2003,5.6,2.6,14.1,4.1,-3668.3,7.95338
2004,7.6,3.1,13.5,4.3,-4444,7.95969
2005,9.1,3.3,12.7,6.2,-5117.9,7.64455
2006,6.6,5.4,12.9,8.0,-5901.7,7.61113
2007,6.8,6.3,12.9,8.1,-6678,7.68293
2008,11.4,3.3,13.8,5.1,-6809.1,7.56917
2009,1.9,0.5,13.6,3.3,-4317.6,8.17579
2010,3.9,2.9,13.3,3.3,-5375.8,8.06817
2011,6.2,4.2,13.5,3.3,-6212.1,7.79687
2012,3.8,3.0,13.5,3.3,-7015.7,7.8432
2013,4.3,3.7,13.7,3.3,-7493.1,7.86876
2014,3.4,4.4,13.6,3.3,-7478.3,7.74269
2015,2.4,4.1,13.1,3.3,-6966.2,7.66902
2016,4.4,2.7,13.0,3.5,-6553.5,7.61386
2017,4.4,3.1,13.0,4.1,-7407.8,7.36359
2018,3.8,3.4,12.7,4.9,-8704.7,7.53625
2019,3.7,4.0,12.6,5.3,-8711.8,7.71352
2020,3.2,-1.8,12.3,3.5,-7105.5,7.74195
2021,4.3,8.0,11.9,3.3,-12988.1,7.75082
2022,6.9,4.2,11.8,3.3,-16469.5,7.76738
2023,6.2,3.5,12.1,3.3,-16134.6,7.84152
