name,locals,foreigners
Museo Nacional de Antropología,652679,69742
Museo Nacional de Historia,405094,58307
Museo del Templo Mayor,66253,18312
Museo Nacional de las Culturas,47650,9514
Museo Casa Carranza,7581,20
Museo de las Culturas de Oaxaca,19111,13154
Museo del Fuerte de San Juan de Ulúa,28580,450
Museo de la Costa Oriental,0,0
Galería de Historia,21013,0
Museo Nacional del Virreinato,23390,322
Museo Nacional de las Intervenciones,17633,193
Museo Regional de Guanajuato Alhóndiga de Granaditas,17255,2506
Museo y Centro de Documentación Histórica Ex Convento de Tepoztlán,15817,1226
Museo Regional de Yucatán Palacio Cantón,8590,3963
Museo Regional de Guadalajara,13155,677
Museo de El Carmen,6455,474
Museo Maya de Cancún con Z. A,5436,6718
Museo Regional de los Pueblos de Morelos,0,0
Museo Regional de Querétaro,10278,598
Museo de Arqueología Maya Fuerte de San Miguel,7019,1387
Otros Museos,186810,14130
